customer_id,first_name,last_name,age,gender,nationality,purchase_channel,payment_methods,signup_date,customer_first_touch,is_member
CUST-F68A2,Kathleen,Sandoval,54,Female,American,Vangvieng-Shop,Mobile Banking,2022-01-01,Walk-in,True
CUST-A723B,Jennifer,Parker,32,Male,Lao,Vangvieng-Shop,Mobile Banking,2022-01-01,Walk-in,True
CUST-E572B,Brian,Bishop,37,Male,Lao,Luangprabang-Shop,Credit Card,2022-01-01,Walk-in,False
CUST-3CE22,Sarah,Pearson,55,Female,Thai,Vangvieng-Shop,Credit Card,2022-01-01,Walk-in,False
CUST-05E12,Alejandro,Chavez,64,Female,Lao,Vientiane-Shop,Credit Card,2022-01-01,Walk-in,True
CUST-A572B,Lisa,Vasquez,62,Male,Lao,Luangprabang-Shop,Cash,2022-01-01,Walk-in,True
CUST-FBD49,Shelly,White,40,Male,Lao,Vientiane-Shop,Credit Card,2022-01-01,Walk-in,True
CUST-342FE,Christina,Thomas,42,Male,Thai,Online/Website,Mobile Banking,2022-01-01,Influencer_Ref,True
CUST-AB9BB,Danny,Saunders,52,Female,Lao,Online/Website,Mobile Banking,2022-01-01,Facebook,False
CUST-43454,Roger,Moss,18,Female,Lao,Vangvieng-Shop,Mobile Banking,2022-01-01,Walk-in,False
CUST-B51E7,Craig,Carpenter,23,Female,Thai,Vientiane-Shop,Credit Card,2022-01-01,Walk-in,True
CUST-5AAEB,Eugene,Webb,48,Female,Thai,Vientiane-Shop,Credit Card,2022-01-01,Walk-in,True
CUST-49546,Dawn,Reed,35,Female,Thai,Online/Website,Mobile Banking,2022-01-01,Facebook,False
CUST-2E83C,April,Stafford,63,Male,Lao,Pakse-Shop,Mobile Banking,2022-01-01,Walk-in,False
CUST-9F5B2,Karen,White,62,Female,Lao,Vientiane-Shop,Credit Card,2022-01-02,Walk-in,True
CUST-18182,Jacob,White,23,Male,Thai,Online/Website,Mobile Banking,2022-01-02,Tiktok,True
CUST-C3AA3,Robert,Taylor,21,Male,Lao,Savanhnaket-Shop,Credit Card,2022-01-02,Walk-in,False
CUST-D5160,Timothy,Banks,28,Female,Lao,Vientiane-Shop,Cash,2022-01-02,Walk-in,False
CUST-B659E,Alexis,Wilkinson,44,Male,Other,Luangprabang-Shop,Credit Card,2022-01-02,Walk-in,True
CUST-14E3F,Brian,Miles,40,Female,Lao,Luangprabang-Shop,Mobile Banking,2022-01-02,Walk-in,True
CUST-C2315,Amy,Hernandez,29,Male,Lao,Online/Website,Mobile Banking,2022-01-02,Tiktok,False
CUST-CDD28,Cristian,Macdonald,41,Female,Lao,Savanhnaket-Shop,Mobile Banking,2022-01-02,Walk-in,True
CUST-7C491,Teresa,Costa,55,Female,Lao,Savanhnaket-Shop,Cash,2022-01-02,Walk-in,False
CUST-7E128,Alicia,Hunt,33,Female,Lao,Online/Website,Mobile Banking,2022-01-02,Tiktok,True
